danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.365,0.32,-15.446,0.0593,0.86,0.0202,0.74,0.357,106.419,252773,14
0.386,0.544,-8.688,0.0319,0.278,0.685,0.68,0.361,74.088,335320,15
0.355,0.464,-10.858,0.0895,0.454,6.05e-05,0.88,0.208,146.355,382653,15
0.349,0.427,-8.124,0.0286,0.194,0.000466,0.893,0.263,67.088,245853,17
0.128,0.896,-7.294,0.216,0.127,0.62,0.865,0.288,199.41,364947,16
0.396,0.343,-11.941,0.0367,0.714,2.8e-05,0.839,0.185,125.558,749787,13
0.526,0.637,-9.854,0.0419,0.000463,1.32e-06,0.344,0.433,130.062,155653,9
0.359,0.403,-12.297,0.0315,0.255,0.0219,0.124,0.369,131.597,354093,12
0.691,0.36,-10.925,0.0307,0.017,3.34e-06,0.142,0.177,98.056,237347,8
0.546,0.103,-22.19,0.0427,0.981,0.912,0.111,0.117,104.992,156853,8
0.495,0.228,-13.152,0.0319,0.365,0.0508,0.106,0.135,113.333,243493,8
0.828,0.466,-13.101,0.198,0.0225,0.000125,0.378,0.325,113.063,139920,6
0.317,0.428,-11.431,0.0333,0.597,0.00106,0.109,0.269,153.083,307173,28
0.45,0.309,-11.654,0.0433,0.662,2.14e-05,0.081,0.0919,106.635,185960,5
0.212,0.929,-5.405,0.236,0.0672,1.01e-05,0.32,0.665,183.755,210347,6
0.633,0.298,-13.771,0.0289,0.724,0.000265,0.128,0.586,109.242,218040,8
0.725,0.782,-4.122,0.034,0.0477,2.2e-06,0.13,0.641,124.007,266453,0
0.376,0.127,-17.979,0.045,0.928,0.243,0.109,0.123,67.304,231760,4
0.366,0.282,-12.171,0.0338,0.0653,0.0698,0.109,0.0366,131.535,376345,8
0.716,0.579,-7.511,0.0322,0.0283,0,0.167,0.506,124.105,202493,20
0.629,0.603,-8.433,0.0369,0.0136,0.597,0.12,0.526,117.03,254000,6
0.795,0.581,-8.333,0.0324,0.0745,0.00139,0.312,0.544,119.973,220760,6
0.301,0.356,-13.258,0.0324,0.414,0.295,0.0964,0.147,134.275,258493,4
0.555,0.603,-8.819,0.0452,0.00479,0.000672,0.0988,0.505,123.961,147427,6
0.424,0.362,-10.804,0.0494,0.112,9.36e-06,0.122,0.331,125.766,354347,5
0.323,0.197,-18.951,0.0396,0.653,0.099,0.101,0.138,72.576,264347,3
0.356,0.515,-10.708,0.0383,0.248,1.24e-05,0.577,0.29,134.7,276160,4
0.712,0.189,-17.543,0.0575,0.874,0.0064,0.113,0.381,120.072,112427,3
0.53,0.708,-8.737,0.027,0.0386,0.721,0.251,0.695,90.007,256947,12
0.324,0.467,-12.537,0.0587,0.336,0.00166,0.18,0.303,118.609,249187,8
0.429,0.727,-7.483,0.0677,0.0859,2.17e-05,0.4,0.702,145.652,158000,4
0.531,0.358,-12.578,0.0372,0.434,0,0.103,0.379,130.326,259385,7
0.563,0.351,-7.208,0.0274,0.709,0.0097,0.101,0.185,110.453,179322,9
0.447,0.78,-6.505,0.04,0.0302,1.19e-05,0.0799,0.758,135.625,159798,7
0.638,0.595,-9.557,0.0437,0.196,0.0309,0.106,0.695,144.362,168285,6
0.594,0.432,-6.127,0.0346,0.338,0,0.142,0.411,76.881,193814,5
0.823,0.579,-5.837,0.0336,0.68,1.14e-05,0.135,0.645,124.013,310599,7
0.686,0.247,-7.228,0.0294,0.875,3.4e-06,0.111,0.296,125.145,114977,9
0.479,0.805,-6.346,0.0399,0.752,0.794,0.143,0.889,129.448,151512,11
0.465,0.593,-8.193,0.0353,0.295,0.000446,0.549,0.38,135.336,242791,4
0.506,0.213,-8.746,0.0392,0.961,3.52e-05,0.139,0.319,84.603,145116,9
0.482,0.498,-7.866,0.0245,0.405,0.128,0.0869,0.31,146.74,160044,9
0.512,0.125,-7.494,0.0381,0.914,0,0.106,0.232,103.138,141531,4
0.372,0.234,-7.255,0.0332,0.96,8.33e-05,0.0949,0.151,82.429,200384,13
0.505,0.31,-9.484,0.027,0.583,0.000585,0.114,0.0786,98.562,199743,2
0.693,0.545,-7.749,0.0313,0.122,1.11e-06,0.157,0.733,124.125,175189,1
0.563,0.479,-6.878,0.0252,0.323,4.66e-06,0.0894,0.29,129.817,214971,25
0.488,0.822,-3.245,0.057,0.0231,0,0.126,0.465,141.504,124256,2
0.504,0.29,-9.966,0.0365,0.3,0.000152,0.108,0.0586,79.314,277744,1
0.274,0.704,-7.76,0.055,0.0004,0.473,0.15,0.319,103.85,358122,1
0.553,0.202,-9.016,0.0641,0.822,0,0.121,0.31,120.137,215544,14
0.406,0.679,-4.541,0.04,0.176,1.32e-06,0.109,0.485,80.734,217656,2
0.543,0.149,-10.749,0.0344,0.759,4.97e-06,0.112,0.233,129.681,220895,1
0.562,0.478,-6.875,0.0256,0.326,2.52e-06,0.0923,0.282,129.815,214968,5
0.627,0.519,-8.99,0.0268,0.423,1.91e-06,0.228,0.706,124.99,147027,9
0.708,0.428,-9.366,0.0254,0.787,0.000638,0.106,0.491,108.552,188880,1
0.507,0.598,-9.283,0.0393,0.118,0.00174,0.0938,0.0907,91.98,268593,10
0.503,0.271,-9.346,0.0393,0.821,0,0.201,0.147,114.627,168314,4
0.44,0.806,-4.917,0.0418,0.2,0,0.214,0.789,188.05,168220,6
0.46,0.453,-8.325,0.029,0.78,0.000252,0.192,0.28,127.78,243623,1
0.592,0.493,-8.49,0.0314,0.318,0.0157,0.138,0.319,104.709,268394,16
0.49,0.41,-8.294,0.0295,0.898,8.54e-05,0.118,0.449,103.209,162866,1
0.745,0.316,-13.851,0.0313,0.874,0.829,0.107,0.373,112.161,344261,2
0.419,0.414,-7.449,0.0543,0.353,0,0.0926,0.145,71.955,142507,0
0.514,0.349,-11.588,0.0288,0.589,0.00318,0.11,0.394,83.081,178125,2
0.392,0.346,-11.865,0.0313,0.982,0.748,0.115,0.0777,113.074,145510,1
0.659,0.0778,-14.706,0.0357,0.867,3.67e-05,0.114,0.582,103.664,131120,5
0.42,0.276,-13.952,0.0392,0.777,0.654,0.301,0.376,176.433,155690,0
0.393,0.23,-13.925,0.0356,0.828,0.00435,0.114,0.197,169.856,242076,1
0.565,0.431,-10.184,0.0259,0.781,0.0221,0.113,0.503,74.002,202193,0
0.761,0.472,-9.235,0.0273,0.218,0.319,0.125,0.494,117.784,236432,17
0.685,0.429,-13.568,0.0383,0.724,0.924,0.107,0.144,136.987,215393,5
0.511,0.252,-13.71,0.0324,0.863,0.0206,0.16,0.381,85.149,169149,5
0.328,0.438,-10.232,0.0331,0.406,0.306,0.107,0.145,95.746,352946,1
0.483,0.715,-7.192,0.0287,0.282,0.000116,0.128,0.419,84.933,267387,2
0.327,0.26,-14.191,0.0374,0.459,0.000527,0.326,0.114,123.507,348067,0
0.524,0.51,-8.911,0.0245,0.557,0.0015,0.139,0.344,106.259,227700,6
0.301,0.267,-15.458,0.0346,0.666,0.067,0.147,0.0587,127.813,214090,1
0.609,0.43,-10.045,0.0266,0.292,0.846,0.118,0.0946,97.786,179253,1
0.721,0.506,-8.939,0.0438,0.234,0.507,0.0469,0.653,169.993,245013,0
0.711,0.191,-10.261,0.0352,0.688,1.78e-05,0.202,0.272,114.913,198733,3
0.671,0.548,-10.45,0.0289,0.779,9.39e-06,0.362,0.368,109.988,226036,1
0.298,0.49,-8.507,0.0329,0.657,0.00968,0.107,0.355,181.277,110805,2
0.339,0.36,-13.422,0.0312,0.758,0.833,0.108,0.115,69.789,87673,2
0.557,0.587,-10.189,0.03,0.0584,0.00102,0.371,0.173,126.029,386401,5
0.259,0.721,-8.662,0.0554,0.0128,0.482,0.613,0.18,142.07,311270,2
0.323,0.433,-8.512,0.0335,0.0759,2.75e-06,0.104,0.204,124.975,301747,4
0.456,0.421,-7.04,0.0326,0.0702,4.4e-06,0.127,0.48,95.146,170473,10
0.468,0.284,-10.933,0.0314,0.762,0.00187,0.122,0.266,116.275,309427,4
0.439,0.509,-12.874,0.0335,0.217,0.777,0.131,0.621,108.238,267053,4
0.419,0.288,-13.083,0.0382,0.774,0.704,0.148,0.402,175.916,155370,1
0.305,0.446,-8.483,0.0312,0.328,7.76e-05,0.0963,0.134,122.813,250227,2
0.682,0.529,-9.436,0.0441,0.17,0.00288,0.278,0.292,92.016,294387,2
0.273,0.616,-8.0,0.073,0.199,0.958,0.0752,0.262,116.092,314840,14
0.55,0.42,-10.729,0.027,0.805,0.00898,0.12,0.488,147.991,203667,1
0.322,0.144,-16.519,0.0335,0.99,0.919,0.0981,0.199,161.254,350873,1
0.579,0.778,-8.28,0.0311,0.0149,0.794,0.0882,0.679,90.261,264446,9
0.513,0.247,-12.612,0.0301,0.833,0.00225,0.0926,0.141,114.157,136053,1
0.64,0.587,-7.863,0.0311,0.0647,0.0664,0.109,0.536,133.009,233156,1
0.396,0.117,-12.546,0.0311,0.943,0.000382,0.0919,0.176,81.895,138040,1
0.529,0.134,-10.762,0.0324,0.898,0,0.498,0.28,104.283,262000,1
0.647,0.806,-6.331,0.0341,0.00592,0.000932,0.195,0.65,119.927,162907,7
0.173,0.836,-6.754,0.0455,0.000371,0.547,0.159,0.179,150.518,245333,0
0.602,0.313,-12.325,0.0314,0.192,0.802,0.111,0.228,100.05,252462,3
0.482,0.672,-6.657,0.0298,0.0599,0.000432,0.114,0.717,131.98,255310,1
0.611,0.68,-9.445,0.0239,0.106,0.000472,0.252,0.662,92.476,242600,1
0.598,0.831,-10.186,0.0397,0.771,0.0636,0.161,0.456,121.941,304220,2
0.237,0.498,-14.856,0.0339,0.515,0.926,0.125,0.0362,109.943,527480,7
0.372,0.342,-13.203,0.0264,0.676,0.528,0.114,0.199,96.725,154320,1
0.777,0.524,-7.975,0.0448,0.107,0.571,0.232,0.96,94.97,423747,15
0.796,0.243,-15.647,0.0767,0.916,0.607,0.095,0.06,117.042,229412,0
0.526,0.379,-12.438,0.0564,0.283,0.313,0.103,0.305,140.291,197320,0
0.536,0.482,-9.939,0.0299,0.746,0.101,0.13,0.181,120.05,299693,8
0.683,0.43,-10.913,0.0606,0.075,0.000566,0.118,0.355,93.957,214664,0
0.305,0.437,-12.529,0.0612,0.369,0.0437,0.102,0.312,78.814,290943,0
0.326,0.302,-10.784,0.0274,0.59,0.000643,0.246,0.343,157.657,140700,1
0.613,0.707,-9.261,0.0282,0.0437,0.787,0.0923,0.372,134.08,260857,6
0.457,0.33,-14.49,0.0302,0.924,0.0617,0.126,0.522,93.813,161533,1
0.766,0.289,-15.364,0.0422,0.709,4.27e-05,0.11,0.465,98.0,223373,1
0.529,0.507,-9.57,0.0268,0.292,0.4,0.0876,0.64,105.716,199201,1
0.277,0.135,-11.951,0.0311,0.715,0,0.0959,0.107,83.803,271907,12
