danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.733,0.667,-4.655,0.0436,0.0209,5.39e-05,0.161,0.569,87.529,200600,38
0.846,0.849,-4.508,0.19,0.0622,5.49e-05,0.118,0.363,100.038,144047,13
0.846,0.729,-5.773,0.352,0.0191,0,0.0792,0.623,169.004,155497,43
0.864,0.633,-5.059,0.288,0.0137,3.14e-06,0.283,0.498,164.033,176750,34
0.835,0.593,-6.905,0.219,0.282,0,0.207,0.682,108.012,150767,22
0.748,0.711,-4.365,0.301,0.0446,0,0.124,0.578,173.949,183143,17
0.962,0.783,-3.257,0.27,0.0252,0,0.0234,0.963,103.981,95852,18
0.841,0.648,-5.238,0.0642,0.341,0,0.107,0.222,112.98,174232,13
0.782,0.554,-4.987,0.056,0.245,0,0.0718,0.585,101.986,192142,11
0.738,0.667,-4.646,0.0455,0.018,9.72e-05,0.164,0.548,87.509,200600,12
0.934,0.631,-3.834,0.317,0.127,0,0.0955,0.437,117.064,149704,50
0.871,0.781,-3.963,0.263,0.0812,0,0.212,0.729,80.018,181231,42
0.896,0.688,-6.736,0.344,0.00192,0,0.358,0.75,151.504,203873,45
0.921,0.635,-4.904,0.416,0.0218,0,0.0946,0.549,130.028,192540,65
0.695,0.923,-2.085,0.345,0.07,0,0.1,0.575,163.957,177428,42
0.726,0.786,-3.354,0.343,0.0231,0,0.287,0.868,180.903,159934,42
0.909,0.815,-4.72,0.251,0.0102,7.31e-05,0.225,0.49,91.979,200123,51
0.949,0.786,-6.43,0.264,0.000829,0,0.3,0.497,133.967,172148,45
0.829,0.748,-4.626,0.43,0.0215,0,0.148,0.81,176.953,197954,49
0.873,0.861,-2.73,0.277,0.0358,2.5e-05,0.166,0.668,169.987,176349,37
0.779,0.718,-4.749,0.235,0.0312,0,0.115,0.564,90.023,134048,37
0.906,0.763,-6.322,0.398,0.147,0,0.107,0.58,139.961,131209,60
0.88,0.859,-6.202,0.162,0.0115,0,0.121,0.806,140.014,207773,36
0.917,0.897,-2.297,0.119,0.00825,0,0.239,0.31,92.975,124803,46
0.93,0.656,-3.999,0.348,0.119,0,0.0893,0.356,116.99,149704,15
0.85,0.759,-4.037,0.324,0.0798,0,0.209,0.636,159.947,181231,15
0.887,0.654,-6.849,0.339,0.00203,0,0.163,0.727,75.715,203873,15
0.923,0.64,-5.224,0.444,0.0216,0,0.122,0.527,130.104,196905,33
0.675,0.926,-2.369,0.366,0.0713,0,0.0963,0.596,164.006,177428,9
0.724,0.768,-3.359,0.342,0.0243,0,0.268,0.849,180.929,159934,13
0.906,0.801,-4.755,0.275,0.0119,8.83e-05,0.148,0.476,92.022,200123,26
0.949,0.705,-6.73,0.309,0.00268,0,0.196,0.488,133.915,172148,18
0.828,0.706,-4.703,0.419,0.0235,0,0.1,0.764,177.053,197954,20
0.875,0.852,-2.805,0.287,0.0292,3.49e-05,0.133,0.686,169.964,176349,17
0.686,0.723,-4.699,0.272,0.0341,0,0.0967,0.534,179.972,134048,12
0.906,0.778,-6.363,0.399,0.142,0,0.107,0.523,139.916,131209,16
0.878,0.861,-6.202,0.146,0.0168,0,0.115,0.79,140.028,207773,9
0.918,0.904,-2.371,0.125,0.00963,0,0.135,0.306,92.996,124858,15
0.742,0.692,-7.928,0.258,0.00595,0.00261,0.23,0.721,152.059,137111,47
0.761,0.637,-5.432,0.313,0.000278,0,0.251,0.374,185.904,196282,61
0.808,0.641,-7.402,0.0676,0.0152,0,0.459,0.381,100.489,230647,43
0.953,0.723,-6.437,0.248,0.00228,0,0.336,0.221,99.969,173799,57
0.79,0.709,-5.806,0.224,0.0593,0,0.0794,0.26,131.079,222752,63
0.912,0.813,-5.774,0.285,0.0337,0,0.113,0.62,136.077,155341,43
0.799,0.699,-7.694,0.204,0.00867,0,0.132,0.627,142.979,214851,60
0.947,0.784,-5.442,0.271,0.0971,0,0.122,0.29,120.027,171377,46
